transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,profit,transaction_month
1,2,2950,25/02/2017,FALSE,Approved,Solex,Standard,medium,medium,71.49,$53.62,41245,$17.87,February
2,3,3120,21/05/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,41701,"$1,702.55",May
3,37,402,16/10/2017,FALSE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,36361,"$1,544.61",October
4,88,3135,31/08/2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,$381.10,36145,$817.36,August
5,78,787,01/10/2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,42226,"$1,055.82",October
6,25,2339,08/03/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,39031,$709.34,March
7,22,1542,21/04/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26,34165,$15.08,April
8,15,2459,15/07/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,39915,"$1,279.40",July
9,67,1305,10/08/2017,FALSE,Approved,Solex,Standard,medium,large,1071.23,$380.74,33455,$690.49,August
10,12,3262,30/08/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,38216,"$1,069.55",August
11,5,1986,17/01/2017,FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71,40784,$114.93,January
12,61,2783,05/01/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93,42172,$14.23,January
13,35,1243,26/02/2017,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,$154.40,34527,$903.11,February
14,16,2717,10/09/2017,FALSE,Approved,Norco Bicycles,Standard,high,small,1661.92,"$1,479.11",34586,$182.81,September
15,12,247,11/06/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,38193,"$1,055.82",June
16,3,2961,10/10/2017,FALSE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,37873,"$1,702.55",October
17,79,2426,03/04/2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,$818.01,38206,$737.57,April
18,33,1842,02/06/2017,FALSE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",33888,$144.26,June
19,54,2268,06/04/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,39915,"$1,279.40",April
20,25,3002,28/01/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,37337,$709.34,January
21,27,1582,09/10/2017,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,36334,$110.81,October
22,37,595,29/06/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,36361,"$1,544.61",June
23,37,2001,08/04/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,42145,"$1,544.61",April
24,82,515,18/10/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,42404,$709.34,October
25,89,2822,11/06/2017,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,$57.74,34079,"$1,305.25",June
26,64,2596,10/01/2017,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55,42145,$872.89,January
27,64,2666,11/04/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55,41047,$872.89,April
28,19,76,23/12/2017,FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71,42560,$114.93,December
29,72,3368,13/10/2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30,42710,$90.10,October
30,91,1173,15/03/2017,FALSE,Approved,WeareA2B,Standard,low,medium,642.31,$513.85,41922,$128.46,March
31,88,2810,05/09/2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,$381.10,37539,$817.36,September
32,1,3214,18/02/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,42688,$448.68,February
33,25,1272,20/03/2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,42404,$709.34,March
34,99,2003,28/02/2017,TRUE,Approved,Trek Bicycles,Road,low,small,1720.7,"$1,531.42",38991,$189.28,February
35,0,2171,20/08/2017,FALSE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,38647,$167.21,August
36,92,3356,07/07/2017,FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,"$1,259.36",37874,$155.65,July
37,14,1040,09/01/2017,FALSE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",34996,$737.17,January
38,2,2916,06/12/2017,FALSE,Approved,Solex,Standard,medium,medium,71.49,$53.62,33549,$17.87,December
39,12,427,12/09/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,38693,"$1,069.55",September
40,0,2448,28/11/2017,TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,38647,$167.21,November
41,44,2570,08/05/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,37668,"$1,660.88",May
42,79,3398,14/05/2017,FALSE,Approved,Solex,Touring,medium,large,2083.94,$675.03,41533,"$1,408.91",May
43,76,488,17/03/2017,FALSE,Cancelled,WeareA2B,Standard,low,medium,642.31,$513.85,41922,$128.46,March
44,46,165,22/12/2017,FALSE,Approved,Solex,Standard,low,medium,1289.85,$74.51,37668,"$1,215.34",December
45,55,2787,07/06/2017,TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,42172,"$1,295.43",June
46,66,3053,20/06/2017,FALSE,Approved,Solex,Standard,medium,medium,1163.89,$589.27,42560,$574.62,June
47,35,475,07/05/2017,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,$154.40,34527,$903.11,May
49,86,1251,17/06/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,38206,$110.56,June
50,32,3103,10/05/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,642.7,$211.37,37337,$431.33,May
51,77,3108,24/03/2017,FALSE,Approved,Norco Bicycles,Road,medium,large,1240.31,$795.10,40553,$445.21,March
52,96,857,27/11/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1635.3,$993.66,39427,$641.64,November
53,6,3455,21/12/2017,TRUE,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,33549,$91.15,December
